Country,Defence budget per capita 2015,Defence budget per capita 2016,Defence budget per capita 2017,Defence budget % GDP 2015,Defence budget % GDP 2016,Defence budget % GDP 2017,Active Armed Forces 2017
Canada,434.1696535244923,432.2819593787336,451.15890083632024,1.04,1.06,1.04,63000
United States,1731.0155316606931,1728.1839904420551,1741.3978494623657,3.25,3.19,3.11,1348000
Albania,31.146953405017925,35.86618876941458,33.97849462365592,0.89,0.96,0.84,8000
Belgium,334.1218637992832,319.02031063321385,349.2234169653525,0.88,0.83,0.87,29000
Bulgaria,73.62007168458781,88.72162485065711,89.66547192353644,1.12,1.28,1.21,31000
Croatia,139.689366786141,129.30704898446834,144.40860215053763,1.31,1.17,1.23,16000
Czechia,157.62246117084828,172.72401433691758,195.3763440860215,0.95,1.0,1.05,23000
Denmark,594.6236559139785,592.7359617682199,640.8721624850657,1.17,1.15,1.17,16000
Estonia,348.27956989247315,373.7634408602151,409.6296296296297,2.07,2.14,2.11,6000
Finland,529.4982078853047,532.3297491039427,545.5436081242533,1.32,1.3,1.27,22000
France,661.6367980884111,660.6929510155317,684.289127837515,1.92,1.9,1.89,203000
Germany,427.56272401433694,443.60812425328555,488.91278375149346,1.08,1.09,1.14,179000
Greece,414.3488649940263,403.02270011947434,414.3488649940263,2.43,2.36,2.31,141000
Hungary,101.93548387096774,100.99163679808842,120.81242532855437,0.88,0.85,0.96,28000
Iceland,85.89008363201913,128.36320191158902,103.82317801672642,0.18,0.23,0.15,0
Italy,328.4587813620072,336.95340501792117,347.3357228195938,1.18,1.19,1.19,175000
Latvia,134.026284348865,195.3763440860215,246.3440860215054,1.05,1.47,1.68,5000
Lithuania,153.84707287933097,210.47789725209083,272.77180406212665,1.14,1.49,1.75,18000
Luxembourg,353.94265232974914,381.31421744324973,466.2604540023895,0.37,0.39,0.46,1000
North Macedonia,46.24850657108722,47.19235364396655,50.02389486260454,1.01,0.97,0.98,8000
China,98.16009557945043,98.16009557945043,101.93548387096774,1.27,1.28,1.26,2035000
Montenegro,98.16009557945043,100.04778972520909,108.54241338112307,1.67,1.64,1.67,2000
Netherlands,494.57586618876945,505.90203106332143,557.8136200716846,1.17,1.17,1.23,35000
Norway,1054.2771804062127,107.59856630824373,1078.8172043010754,1.5,1.62,1.55,24000
Poland,248.23178016726405,222.74790919952213,241.62485065710874,2.12,1.94,1.93,105000
Portugal,218.02867383512546,212.36559139784947,213.30943847072882,1.26,1.19,1.15,31000
Romania,108.54241338112307,120.81242532855437,177.44324970131422,1.4,1.47,1.97,69000
Slovakia,152.90322580645162,168.94862604540026,193.48864994026286,1.01,1.09,1.17,16000
Slovenia,211.42174432497015,212.36559139784947,226.52329749103944,1.03,1.0,0.99,7000
Spain,255.7825567502987,193.48864994026286,233.13022700119475,1.09,0.81,0.93,121000
Sweden,551.2066905615293,548.3751493428913,565.3643966547193,1.15,1.12,1.1,30000
Türkiye,100.04778972520909,101.93548387096774,93.44086021505377,0.98,1.0,0.95,355000
United Kingdom,857.9569892473119,770.1792114695342,739.0322580645162,2.03,2.0,1.98,150000
Russia,346.3918757467145,294.48028673835125,302.97491039426524,3.82,3.47,3.1,900000
