Country,GDP 2014,GDP 2015,GDP 2016,GDP 2017,GDP 2018,GDP 2019,GDP 2020,GDP 2021,GDP 2022,GDP 2023,GDP 2024
Albania,11139693788.8124,11386853113.0189,11764325094.2129,12211675169.6845,12702504600.374,12964502337.0284,12534895529.6924,13659219676.8332,14318507636.8055,14882173624.9218,14882173624.9218
Belgium,454346946668.411,461044767544.531,466547349016.531,473426438780.183,482317238512.932,494099718421.514,470417598481.151,499595504127.06,520745539238.467,527263714444.414,527263714444.414
Bulgaria,49142357906.2347,50811995688.6771,52349886250.8068,53787375622.383,55158665587.1604,57248544889.4673,55407582000.7787,59718632534.0491,62130535277.7185,63302823436.9332,63302823436.9332
Canada,1546457292386.53,1556508816217.14,1572673953080.04,1620386284372.81,1664832887596.13,1696605089927.38,1611126164920.14,1696305710720.04,1761102321572.64,1783097209318.73,1783097209318.73
China,10333926843443.8,11061572618578.7,11819153423353.8,12640253743744.4,13493442283300.8,14296369668065.2,14616413683019.5,15851276922873.1,16318995784492.7,17175670911003.5,17175670911003.5
Czechia,180173337872.859,189107698561.919,193988322699.324,204024435225.367,209798950840.998,217279912678.49,205753475034.301,214043320209.36,220137498815.997,219949654880.837,219949654880.837
Germany,3367906396055.51,3423568450957.03,3502129441730.16,3597248136065.74,3637409365003.91,3673343090202.78,3522914640155.8,3652205602572.65,3702230996916.9,3692366831510.82,3692366831510.82
Denmark,295539545041.068,301758922337.637,311032111245.335,320538736946.88,326500781458.764,332088518914.51,326176991303.13,350255593023.122,355650135472.963,364524261928.203,364524261928.203
Spain,1159095456184.34,1206164777553.12,1241326362774.56,1277275696600.78,1307871701738.56,1333521400772.79,1187633217272.88,1267004457572.21,1345296618919.51,1381292229418.88,1381292229418.88
Estonia,22891073863.273,23311847750.9394,24032886893.1699,25387061799.8453,26326305513.7363,27307395615.8101,26519902198.9957,28417254674.457,28434426605.4652,27574843698.0953,27574843698.0953
Finland,232127848925.0,233210733506.25,239208760192.969,247110711000.0,250058686750.391,253433824963.672,247120696616.016,253878739632.812,257560103403.906,254562199573.437,254562199573.437
France,2416703157283.96,2442483452642.5,2463489569508.32,2514819204022.09,2556210832827.89,2608036639287.32,2413981867221.76,2580120255345.61,2646451031159.26,2671234714330.38,2671234714330.38
United Kingdom,2864242231205.47,2927911140916.73,2984177104376.02,3063451915172.53,3106499243290.97,3156963551827.52,2831893576021.77,3074755378779.19,3223545409624.7,3234504373105.3,3234504373105.3
Greece,195012591244.259,194567373678.099,194505510567.857,197370819841.305,201445880947.483,206033167541.336,187085880547.56,203277224063.029,214952754695.546,219965719224.042,219965719224.042
Croatia,49847163744.5929,51005200669.6941,52770556703.1252,54501936568.9879,56085044234.0737,57823926882.8566,53017808755.2998,59714859477.6201,64066840476.8464,66182676637.3453,66182676637.3453
Hungary,120699456740.623,125174166987.372,127929252772.234,133394359768.376,140547430034.099,147383974295.866,140770787502.349,150710923361.943,157618619387.289,156187937314.849,156187937314.849
Iceland,16773046835.507,17517210519.0912,18621440660.0019,19402600566.9271,20351227274.147,20729999827.2907,19291243912.7068,20304846331.8777,22130761184.0171,23245527336.2072,23245527336.2072
Italy,1829227175717.41,1845428048839.1,1868241619898.42,1898202609756.92,1913894038939.75,1922107755102.45,1751650987476.49,1908092024347.85,1997042745688.22,2010974774790.36,2010974774790.36
Lithuania,40396596564.7359,41540954817.2039,42650895979.8047,44618059006.3441,46812540143.4277,49002127219.1508,49023106998.3996,52150789442.1719,53474128766.591,53657150684.4898,53657150684.4898
Luxembourg,58738350255.7597,60071584216.1375,63062062076.8293,63892707778.4988,64671765568.8058,66557495896.7378,65951935965.6765,70679635853.8902,71655146215.6371,70870003856.6378,70870003856.6378
Latvia,25384189270.9715,26344565876.8902,27016796437.5492,27935083671.9621,29139005014.4504,29335802644.3992,28318076426.6769,30285399223.0726,30834377325.2508,31360657012.7125,31360657012.7125
North Macedonia,9690853712.45803,10064519962.5655,10351178142.8536,10463154366.0785,10764555646.4726,11185494933.6944,10661068595.4055,11141955229.994,11449348867.2054,11686665220.5256,11686665220.5256
Montenegro,3921767211.59682,4054730077.57718,4174315433.82382,4371195571.75916,4593160022.61922,4779777587.71771,4048142110.54292,4576160079.60802,4869340027.24234,5177944070.4817,5177944070.4817
Netherlands,759634819632.632,775743675302.734,794549918798.828,816650691068.16,835096710123.568,854304699361.253,821260591753.75,872809728969.262,916513359627.026,917196718601.978,917196718601.978
Norway,381081533533.12,388159512245.53,392680500155.007,402355151389.893,405690275911.956,410249333471.117,405005642244.497,420836044228.583,433484840343.081,435564038441.666,435564038441.666
Poland,459682079851.439,480054118583.367,494605411858.337,520089746650.75,552573816155.989,577884228677.544,566120997479.772,605337233054.782,637150470884.733,638035044435.602,638035044435.602
Portugal,195923730996.63,199038523119.639,203027535953.584,209757331881.699,215937375267.637,221866334776.915,203663018337.793,214984151691.324,230002604720.83,235813117071.956,235813117071.956
Romania,172441103432.375,177885131240.315,182972525962.275,197967999561.02,210085482250.697,218327690029.17,210305491425.986,221968423307.804,230770154206.928,236318495899.176,236318495899.176
Russia,1390921151162.46,1363482182197.71,1366123111808.03,1391065651845.68,1430116278515.49,1461551317106.21,1422766794794.99,1502645054025.01,1471544636157.84,1524520243059.52,1524520243059.52
Slovakia,84789118228.7254,89178548717.3324,90915585456.2015,93529165116.4867,97328432384.4156,99543529380.5199,96969818956.4464,102523269375.456,102984289733.717,104403760583.519,104403760583.519
Slovenia,41711190708.5511,42709468274.8137,44005450339.8887,46282470359.9316,48309217557.2363,50002577211.6531,47959972856.1156,51983646872.7637,53386808992.5859,54514654364.7027,54514654364.7027
Sweden,480507219292.52,501698263620.663,513486872435.55,522858808973.771,532808626955.913,546393370671.191,535436339492.279,567227918052.988,575505409872.88,573717486152.92,573717486152.92
Türkiye,814741000960.492,864313810469.009,893035686216.222,960031200973.599,988958576886.064,997053346501.186,1015597272884.83,1131775463573.96,1194401442556.95,1255449309088.75,1255449309088.75
United States,17771549056000.0,18295019000000.0,18627887993000.0,19085691122935.2,19651869117582.5,20159639089698.1,19723580221938.2,20917853444668.3,21443388432051.0,22062578283266.8,22062578283266.8
