Country,Defence budget per capita 2020,Defence budget per capita 2021,Defence budget per capita 2022,Defence budget % GDP 2020,Defence budget % GDP 2021,Defence budget % GDP 2022,Active Armed Forces 2022
Canada,415.35280603872667,475.24450278962917,500.91237282573024,1.22,1.17,1.12,67
United States,1810.751558910404,1764.082704299311,1767.1939612733838,3.71,3.3,3.06,1360
Albania,56.00262553331146,61.44732523793896,71.55891040367575,1.47,1.34,1.57,8
Belgium,353.1276665572695,364.7948802100427,371.79520840170665,1.02,0.92,0.96,23
Bulgaria,139.22874958976044,143.1178208073515,151.67377748605188,1.79,1.58,1.58,37
Croatia,183.56416147029867,261.34558582212014,236.45553002953727,1.74,2.09,1.84,17
Czechia,236.45553002953727,286.235641614703,277.6796849360027,1.32,1.4,1.29,27
Denmark,651.8083360682639,708.5887758450936,665.0311782080736,1.38,1.35,1.31,15
Estonia,453.4657039711192,496.245487364621,532.802756809977,2.31,2.12,2.15,7
Finland,579.47161142107,822.9274696422711,808.148999015425,1.53,1.99,2.07,19
France,630.029537249754,672.0315063997375,619.9179520840171,2.08,1.99,1.96,203
Germany,505.57925828683955,540.5808992451592,492.3564161470299,1.34,1.3,1.32,183
Greece,364.7948802100427,565.4709550377421,581.0272399081064,2.64,3.55,3.54,132
Hungary,173.4525763045619,209.23203150639975,239.56678700361013,1.39,1.44,1.62,32
Iceland,115.89432228421398,95.67115195274042,91.00426649163111,0.24,0.17,0.15,0
Italy,370.23957991467023,417.6862487692813,395.9074499507713,1.57,1.59,1.56,161
Latvia,312.6813258943223,343.7938956350509,359.3501805054152,2.27,2.14,2.12,7
Lithuania,330.57105349524124,374.9064653757795,458.9104036757467,2.07,2.01,2.34,23
Luxembourg,482.24483098129315,500.91237282573024,531.2471283229406,0.53,0.47,0.54,0
North Macedonia,68.4476534296029,75.44798162126682,84.00393829996719,1.59,1.49,1.63,8
Montenegro,94.11552346570397,116.6721365277322,129.11716442402366,1.65,1.55,1.63,2
Netherlands,567.0265835247785,623.02920905809,680.5874630784378,1.39,1.37,1.54,34
Norway,920.9320643255662,1059.3829996718084,1040.7154578273712,1.79,1.56,1.47,25
Poland,259.7899573350837,273.7906137184116,273.7906137184116,2.13,1.98,1.87,114
Portugal,215.45454545454547,222.45487364620942,196.78700361010831,1.25,1.17,1.01,27
Romania,189.00886117492618,203.78733180177227,217.78798818510012,2.08,1.96,1.73,72
Slovakia,263.67902855267477,284.6800131276666,287.7912701017394,1.76,1.73,1.79,18
Slovenia,224.01050213324584,308.79225467673126,326.68198227765015,1.13,1.35,1.42,6
Spain,213.89891696750905,248.9005579258287,241.90022973416478,1.07,1.06,1.06,124
Sweden,536.6918280275681,628.4739087627174,598.9169675090253,1.29,1.31,1.34,15
Türkiye,103.44929438792255,90.2264522481129,58.3360682638661,1.51,1.17,0.73,355
United Kingdom,727.2563176895308,834.5946832950444,803.4821135543158,2.23,2.22,2.19,150
Russia,234.12208729898262,265.23465703971124,366.35050869707914,2.87,2.73,3.13,1190
China,104.22710863144077,118.22776501476864,133.00623564161472,1.26,1.21,1.2,2035
