Country,Defence budget per capita prev year,Defence budget per capita curr year,Defence budget % GDP prev year,Defence budget % GDP curr year,Active Armed Forces
Canada,625,696,1.12,1.22,62
United States,2708,2831,3.32,3.32,1316
Albania,128,157,1.74,1.87,8
Belgium,620,707,1.17,1.28,24
Bulgaria,195,346,1.31,2.17,37
Croatia,268,301,1.35,1.39,17
Czechia,465,605,1.47,1.91,27
Denmark,899,918,1.31,1.33,13
Estonia,1028,1428,2.99,3.96,7
Finland,1250,1225,2.37,2.25,24
France,873,937,1.95,2.02,202
Germany,796,1022,1.48,1.83,180
Greece,696,742,3.07,3.07,132
Hungary,447,575,2.08,2.48,32
Iceland,112,134,0.13,0.15,0
Italy,533,578,1.41,1.48,162
Latvia,574,797,2.4,3.15,7
Lithuania,762,950,2.6,3.02,16
Luxembourg,888,1030,0.68,0.76,1
North Macedonia,128,167,1.85,2.25,8
Montenegro,222,168,1.8,1.24,3
Netherlands,942,1328,1.44,1.94,34
Norway,1311,1776,1.48,1.94,25
Poland,593,723,2.86,3.25,164
Portugal,273,304,0.97,1.02,22
Romania,462,507,2.41,2.42,70
Slovakia,477,512,2.0,2.0,13
Slovenia,484,553,1.47,1.58,6
Spain,409,411,1.19,1.12,122
Sweden,873,1157,1.57,2.01,15
Türkiye,105,170,0.78,1.06,355
United Kingdom,1101,1184,2.22,2.26,141
Russia,529,854,3.72,5.51,1134
China,157,166,1.26,1.29,2035
