Country,Defence budget per capita,Year,Defence budget % GDP,Active Armed Forces
Albania,74.12668198227765,2020,1.47,
Albania,79.0,2021,1.36,
Albania,94.71742697735476,2022,1.57,8.0
Albania,129.0,2023,1.74,8.0
Albania,152.81073533974555,2024,1.87,8.0
Belgium,467.4099113882507,2020,1.02,
Belgium,469.0,2021,0.93,
Belgium,492.1188053823433,2022,0.96,23.0
Belgium,467.0,2023,0.89,23.0
Belgium,688.1349674216567,2024,1.28,24.0
Bulgaria,184.28716770594025,2020,1.79,
Bulgaria,184.0,2021,1.51,
Bulgaria,200.75976370200195,2022,1.58,37.0
Bulgaria,242.0,2023,1.61,37.0
Bulgaria,336.76760781880233,2024,2.17,37.0
Canada,549.7728913685592,2020,1.22,
Canada,611.0,2021,1.16,
Canada,663.0219888414833,2022,1.12,67.0
Canada,628.0,2023,1.14,67.0
Canada,677.4284827800185,2024,1.22,62.0
China,137.95799146701674,2020,1.26,
China,151.0,2021,1.2,
China,176.0508697079094,2022,1.2,2035.0
China,154.0,2023,1.24,2035.0
China,161.57058641017684,2024,1.29,2035.0
Croatia,242.97079094191005,2020,1.74,
Croatia,342.0,2021,2.09,
Croatia,312.97932392517225,2022,1.84,17.0
Croatia,270.0,2023,1.4,17.0
Croatia,292.968352466646,2024,1.39,17.0
Czechia,312.97932392517225,2020,1.32,
Czechia,368.0,2021,1.4,
Czechia,367.54479816212665,2022,1.29,27.0
Czechia,476.0,2023,1.52,27.0
Czechia,588.8566552901024,2024,1.91,27.0
Denmark,862.7522152937315,2020,1.38,
Denmark,911.0,2021,1.32,
Denmark,880.2543485395471,2022,1.31,15.0
Denmark,889.0,2023,1.26,15.0
Denmark,893.50480918399,2024,1.33,13.0
Estonia,600.2202166064982,2020,2.31,
Estonia,627.0,2021,2.1,
Estonia,705.2330160813915,2022,2.15,7.0
Estonia,994.0,2023,2.88,7.0
Estonia,1389.8963698417622,2024,3.96,7.0
Finland,767.0052510666228,2020,1.53,
Finland,1058.0,2021,1.99,
Finland,1069.6892024942565,2022,2.07,19.0
Finland,1183.0,2023,2.17,24.0
Finland,1192.313062364257,2024,2.25,24.0
France,833.9251723006236,2020,2.08,
France,864.0,2021,1.99,
France,820.5411880538234,2022,1.96,203.0
France,875.0,2023,1.97,204.0
France,911.997828110456,2024,2.02,202.0
Germany,669.1992123400065,2020,1.34,
Germany,695.0,2021,1.3,
Germany,651.6970790941909,2022,1.32,183.0
Germany,756.0,2023,1.44,181.0
Germany,994.7297548867514,2024,1.83,180.0
Greece,482.8529701345586,2020,2.64,
Greece,727.0,2021,3.58,
Greece,769.0643255661306,2022,3.54,132.0
Greece,701.0,2023,3.03,132.0
Greece,722.2010549177784,2024,3.07,132.0
Hungary,229.58680669510997,2020,1.39,
Hungary,243.0,2021,1.3,
Hungary,317.0974729241877,2022,1.62,32.0
Hungary,415.0,2023,1.97,32.0
Hungary,559.657151721998,2024,2.48,32.0
Iceland,153.40105021332457,2020,0.24,
Iceland,123.0,2021,0.17,
Iceland,120.45585822120115,2022,0.15,0.0
Iceland,114.0,2023,0.13,0.0
Iceland,130.42444927086564,2024,0.15,0.0
Italy,490.05973088283554,2020,1.57,
Italy,537.0,2021,1.58,
Italy,524.0344601247128,2022,1.56,161.0
Italy,537.0,2023,1.5,161.0
Italy,562.5771020788085,2024,1.48,162.0
Latvia,413.8739744010502,2020,2.27,
Latvia,442.0,2021,2.1,
Latvia,475.6462093862816,2022,2.12,7.0
Latvia,578.0,2023,2.28,7.0
Latvia,775.7334781259694,2024,3.15,7.0
Lithuania,437.5533311453889,2020,2.07,
Lithuania,482.0,2021,1.98,
Lithuania,607.4269773547752,2022,2.34,23.0
Lithuania,767.0,2023,2.58,25.0
Lithuania,924.6509463233012,2024,3.02,16.0
Luxembourg,638.3130948473909,2020,0.53,
Luxembourg,644.0,2021,0.48,
Luxembourg,703.1739415818838,2022,0.54,0.0
Luxembourg,1802.0,2023,1.34,1.0
Luxembourg,1002.5162891715792,2024,0.76,1.0
Montenegro,124.5740072202166,2020,1.65,
Montenegro,150.0,2021,1.55,
Montenegro,170.90318345914014,2022,1.63,2.0
Montenegro,205.0,2023,1.75,3.0
Montenegro,163.5172199813838,2024,1.24,3.0
Netherlands,750.5326550705612,2020,1.39,
Netherlands,801.0,2021,1.35,
Netherlands,900.8450935346242,2022,1.54,34.0
Netherlands,960.0,2023,1.53,34.0
Netherlands,1292.5646912814148,2024,1.94,34.0
North Macedonia,90.59927797833934,2020,1.59,
North Macedonia,97.0,2021,1.5,
North Macedonia,111.19002297341646,2022,1.63,8.0
North Macedonia,129.0,2023,1.74,8.0
North Macedonia,162.5439031957803,2024,2.25,8.0
Norway,1218.9721037085658,2020,1.79,
Norway,1362.0,2021,1.53,
Norway,1377.5208401706595,2022,1.47,25.0
Norway,1300.0,2023,1.33,25.0
Norway,1728.6106112317714,2024,1.94,25.0
Poland,343.865441417788,2020,2.13,
Poland,352.0,2021,1.97,
Poland,362.3971119133574,2022,1.87,114.0
Poland,617.0,2023,2.78,100.0
Poland,703.7080359913124,2024,3.25,164.0
Portugal,285.1818181818182,2020,1.25,
Portugal,286.0,2021,1.15,
Portugal,260.4729241877256,2022,1.01,27.0
Portugal,275.0,2023,1.02,26.0
Portugal,295.88830282345634,2024,1.02,22.0
Romania,250.17755169018704,2020,2.08,
Romania,262.0,2021,1.95,
Romania,288.2704299310797,2022,1.73,72.0
Romania,466.0,2023,2.44,70.0
Romania,493.4716103009618,2024,2.42,70.0
Russia,309.8907121759107,2020,2.87,
Russia,341.0,2021,2.64,
Russia,484.9120446340663,2022,3.13,1190.0
Russia,528.0,2023,4.01,1100.0
Russia,831.2125349053675,2024,5.51,1134.0
Slovakia,349.01312766655724,2020,1.76,
Slovakia,366.0,2021,1.68,
Slovakia,380.9287824089268,2022,1.79,18.0
Slovakia,493.0,2023,2.01,18.0
Slovakia,498.3381942289792,2024,2.0,13.0
Slovenia,296.5067279291106,2020,1.13,
Slovenia,397.0,2021,1.35,
Slovenia,432.4056448966196,2022,1.42,6.0
Slovenia,487.0,2023,1.49,6.0
