Country,Population 2020,Population 2021,Population 2022,Population 2023,Population 2024
Albania,2837849.0,2811666.0,2777689.0,2745972.0,2745972.0
Belgium,11538604.0,11586195.0,11680210.0,11787423.0,11787423.0
Bulgaria,6934015.0,6877743.0,6643324.0,6446596.0,6446596.0
Canada,38028638.0,38239864.0,38939056.0,40097761.0,40097761.0
China,1411100000.0,1412360000.0,1412175000.0,1410710000.0,1410710000.0
Czechia,10697858.0,10505772.0,10672118.0,10864042.0,10864042.0
Germany,83160871.0,83196078.0,83797985.0,83280000.0,83280000.0
Denmark,5831404.0,5856733.0,5903037.0,5946952.0,5946952.0
Spain,47365655.0,47415794.0,47759127.0,48347910.0,48347910.0
Estonia,1329522.0,1330932.0,1348840.0,1370286.0,1370286.0
Finland,5529543.0,5541017.0,5556106.0,5583911.0,5583911.0
France,67601110.0,67842811.0,68065015.0,68287487.0,68287487.0
United Kingdom,67081234.0,67026292.0,67791000.0,68350000.0,68350000.0
Greece,10698599.0,10569207.0,10436882.0,10405588.0,10405588.0
Croatia,3914206.0,3878981.0,3855641.0,3859686.0,3859686.0
Hungary,9750149.0,9709891.0,9644377.0,9592186.0,9592186.0
Iceland,366463.0,372520.0,382003.0,393349.0,393349.0
Italy,59438851.0,59133173.0,59013667.0,58993475.0,58993475.0
Lithuania,2794885.0,2800839.0,2831639.0,2871585.0,2871585.0
Luxembourg,630419.0,640064.0,653103.0,666430.0,666430.0
Latvia,1900449.0,1884490.0,1879383.0,1877445.0,1877445.0
North Macedonia,1856124.0,1837114.0,1831712.0,1827816.0,1827816.0
Montenegro,621306.0,619211.0,617213.0,616177.0,616177.0
Netherlands,17441500.0,17533044.0,17700982.0,17877117.0,17877117.0
Norway,5379475.0,5408320.0,5457127.0,5519594.0,5519594.0
Poland,37899070.0,36981559.0,36821749.0,36687353.0,36687353.0
Portugal,10297081.0,10361831.0,10434332.0,10578174.0,10578174.0
Romania,19265250.0,19122059.0,19048502.0,19059479.0,19059479.0
Russia,145245148.0,144746762.0,144236933.0,143826130.0,143826130.0
Slovakia,5458827.0,5447247.0,5431752.0,5426740.0,5426740.0
Slovenia,2102419.0,2108079.0,2112076.0,2120461.0,2120461.0
Sweden,10353442.0,10415811.0,10486941.0,10536632.0,10536632.0
Türkiye,83384680.0,84147318.0,84979913.0,85325965.0,85325965.0
United States,331526933.0,332048977.0,333271411.0,334914895.0,334914895.0
