Country,Secondary Education Attainment 2020,Secondary Education Attainment 2021,Secondary Education Attainment 2022,Secondary Education Attainment 2023,Secondary Education Attainment 2024
Albania,51.8425102233887,51.8425102233887,53.2684860229492,53.2684860229492,53.2684860229492
Belgium,72.7141799926758,74.2476806640625,75.1261901855469,75.1261901855469,75.1261901855469
Bulgaria,77.7799987792969,78.4247741699219,79.3163833618164,79.3163833618164,79.3163833618164
Canada,88.1384048461914,86.5199966430664,89.1743698120117,89.5703811645508,89.5703811645508
China,31.7700004577637,31.7700004577637,31.7700004577637,31.7700004577637,31.7700004577637
Czechia,90.9993286132812,91.4344177246094,91.1693878173828,91.1693878173828,91.1693878173828
Germany,83.6999969482422,80.9400482177734,80.7969970703125,80.7969970703125,80.7969970703125
Denmark,79.3199996948242,77.0769271850586,76.8023986816406,76.8023986816406,76.8023986816406
Spain,53.2599983215332,54.9879417419434,55.3492813110352,55.249439239502,55.249439239502
Estonia,85.7600021362305,85.8408355712891,86.4714736938477,86.4714736938477,86.4714736938477
Finland,82.5449523925781,80.7345123291016,81.3429718017578,81.3429718017578,81.3429718017578
France,73.3635330200195,76.7396774291992,74.4087524414062,78.039665222168,78.039665222168
United Kingdom,79.9100036621094,80.4599990844727,78.3403701782227,79.4127426147461,79.4127426147461
Greece,65.2699966430664,67.1153335571289,68.630744934082,68.630744934082,68.630744934082
Croatia,77.9384307861328,79.1094818115234,79.9907760620117,79.9907760620117,79.9907760620117
Hungary,80.0100021362305,81.4102630615234,82.6402359008789,82.6402359008789,82.6402359008789
Iceland,74.1399993896484,79.7339630126953,79.1531066894531,79.1531066894531,79.1531066894531
Italy,52.4599990844727,52.4379005432129,52.7956314086914,52.7956314086914,52.7956314086914
Lithuania,89.870002746582,91.1113204956055,91.9948425292969,91.9948425292969,91.9948425292969
Luxembourg,74.4377670288086,76.9224014282227,77.4083404541016,77.4083404541016,77.4083404541016
Latvia,90.1376037597656,88.1561660766602,88.7702789306641,69.2309112548828,69.2309112548828
North Macedonia,68.3000030517578,69.5329437255859,70.5153350830078,71.9502563476562,71.9502563476562
Montenegro,81.9217376708984,59.2587928771973,59.2587928771973,59.2587928771973,59.2587928771973
Netherlands,72.9599990844727,73.850830078125,74.0509719848633,74.0509719848633,74.0509719848633
Norway,82.4527740478516,75.2643356323242,79.070556640625,79.070556640625,79.070556640625
Poland,87.7799987792969,87.8078155517578,88.1990509033203,66.9982604980469,66.9982604980469
Portugal,43.4500007629395,47.285888671875,48.120044708252,47.4094543457031,47.4094543457031
Romania,71.0299987792969,72.1699981689453,73.0299987792969,73.0299987792969,73.0299987792969
Russia,91.8141174316406,92.1800003051758,91.9972534179688,92.6996612548828,92.6996612548828
Slovakia,89.1387252807617,89.8135070800781,90.1811904907227,90.1811904907227,90.1811904907227
Slovenia,84.5077056884766,86.0022888183594,86.0007934570312,86.0007934570312,86.0007934570312
Sweden,84.2090759277344,83.1135482788086,83.9836730957031,83.9836730957031,83.9836730957031
Türkiye,36.4532737731934,37.7613334655762,39.2632904052734,41.0625801086426,41.0625801086426
United States,90.9400024414062,91.313362121582,91.1900024414062,95.2892456054688,95.2892456054688
