Country,Defence budget per capita,Year,Defence budget % GDP,Active Armed Forces
Albania,61.225,2013,1.44,
Albania,44.47980416156671,2014,1.04,
Albania,31.146953405017925,2015,0.89,8.0
Albania,36.14782948768088,2016,0.99,8.0
Albania,32.96754250386399,2017,0.86,8.0
Albania,37.60516605166052,2018,0.88,8.0
Albania,51.82097710966861,2019,1.29,8.0
Albania,56.00262553331146,2020,1.47,8.0
Albania,59.6844118584635,2021,1.36,8.0
Albania,68.38659633881477,2022,1.51,8.0
Albania,94.12348743406764,2023,1.74,8.0
Albania,115.4483400558486,2024,1.87,8.0
Belgium,441.4125,2013,0.95,
Belgium,427.3929008567932,2014,0.93,
Belgium,334.1218637992832,2015,0.88,31.0
Belgium,313.2811888932343,2016,0.83,30.0
Belgium,359.8956723338485,2017,0.91,29.0
Belgium,366.4317343173432,2018,0.89,27.0
Belgium,335.2169456781688,2019,0.9,26.0
Belgium,353.1276665572695,2020,1.02,26.0
Belgium,354.3289767293592,2021,0.93,24.0
Belgium,422.82035370772576,2022,1.17,23.0
Belgium,455.9106422587652,2023,1.17,23.0
Belgium,519.885200124108,2024,1.28,24.0
Bulgaria,102.7,2013,1.39,
Bulgaria,95.7282741738066,2014,1.26,
Bulgaria,73.62007168458781,2015,1.12,31.0
Bulgaria,87.12553773953853,2016,1.26,31.0
Bulgaria,86.99768160741885,2017,1.17,31.0
Bulgaria,118.93726937269372,2018,1.45,31.0
Bulgaria,238.86231636487872,2019,3.03,37.0
Bulgaria,139.22874958976044,2020,1.79,37.0
Bulgaria,139.01179470832005,2021,1.51,37.0
Bulgaria,143.39125038783743,2022,1.48,37.0
Bulgaria,143.39125038783743,2023,1.31,37.0
Bulgaria,254.4275519702141,2024,2.17,37.0
Canada,462.15,2013,0.88,
Canada,437.062423500612,2014,0.88,
Canada,434.1696535244923,2015,1.04,66.0
Canada,412.45600312866645,2016,1.02,63.0
Canada,478.9451313755796,2017,1.13,63.0
Canada,466.1291512915129,2018,1.11,67.0
Canada,419.4260334813803,2019,1.08,67.0
Canada,415.3528060387266,2020,1.22,67.0
Canada,461.6098182977367,2021,1.16,67.0
Canada,464.734719205709,2022,1.12,67.0
Canada,459.5873409866584,2023,1.12,67.0
Canada,511.7964629227428,2024,1.22,62.0
China,83.9375,2013,1.22,
China,92.82741738066096,2014,1.24,
China,98.16009557945044,2015,1.27,2333.0
China,96.394211967149,2016,1.28,2183.0
China,101.64992272024728,2017,1.28,2035.0
China,106.69372693726936,2018,1.23,2035.0
China,102.83225145199864,2019,1.23,2035.0
China,104.22710863144076,2020,1.26,2035.0
China,114.08033152693656,2021,1.2,2035.0
China,113.24232081911263,2022,1.23,2035.0
China,115.4483400558486,2023,1.26,2035.0
China,122.06639776605648,2024,1.29,2035.0
Croatia,176.76250000000002,2013,1.39,
Croatia,166.31578947368422,2014,1.31,
Croatia,139.689366786141,2015,1.31,17.0
Croatia,126.9808369182636,2016,1.14,16.0
Croatia,146.52241112828438,2017,1.25,16.0
Croatia,197.64575645756457,2018,1.58,15.0
Croatia,199.99658353262728,2019,1.72,15.0
Croatia,183.56416147029867,2020,1.74,15.0
Croatia,258.38061842524706,2021,2.09,17.0
Croatia,228.6906608749612,2022,1.81,17.0
Croatia,197.07105181507916,2023,1.35,17.0
Croatia,221.3372634191747,2024,1.39,17.0
Czechia,200.4625,2013,1.03,
Czechia,184.68788249694003,2014,0.97,
Czechia,157.62246117084828,2015,0.95,22.0
Czechia,169.6167383652718,2016,1.0,22.0
Czechia,193.22642967542504,2017,1.04,23.0
Czechia,222.1328413284133,2018,1.09,23.0
Czechia,220.23915271609155,2019,1.15,23.0
Czechia,236.45553002953727,2020,1.32,25.0
Czechia,278.0235894166401,2021,1.4,27.0
