Country,Defence budget per capita,Year,Defence budget % GDP,Active Armed Forces,Population,GDP (2015 USD),Unemployment rate,Secondary education attainment rate,GDP per capita,GDP per capita % change,Defence budget per capita % change,Defence budget % GDP % change,Active Armed Forces per capita
Albania,61.225,2013,1.44,,,,,,,,,,
Albania,44.47980416156671,2014,1.04,,2889104.0,11139693788.8124,18.055,45.9827041625977,3855.7607440965785,,-27.350258617285895,-27.777777777777768,
Albania,31.146953405017925,2015,0.89,8.0,2880703.0,11386853113.0189,17.193,48.1863632202148,3952.803573648134,2.516827054171711,-29.975066230325698,-14.423076923076927,2.777099895407475e-06
Albania,36.14782948768088,2016,0.99,8.0,2876101.0,11764325094.2129,15.418,46.9845199584961,4090.372728291844,3.4802932167141476,16.05574714686955,11.23595505617978,2.781543485433926e-06
Albania,32.96754250386399,2017,0.86,8.0,2873457.0,12211675169.6845,13.616,46.3533401489258,4249.820049398512,3.898112267466991,-8.798002615622401,-13.131313131313128,2.784102911580024e-06
Albania,37.60516605166052,2018,0.88,8.0,2866376.0,12702504600.374,12.304,49.8858070373535,4431.555595069873,4.276311551052192,14.067240672406722,2.3255813953488413,2.7909806668769205e-06
Albania,51.82097710966861,2019,1.29,8.0,2854191.0,12964502337.0284,11.466,50.7128944396973,4542.268662828942,2.4982890405851776,37.80281421568239,46.59090909090911,2.8028958118079695e-06
Albania,56.00262553331146,2020,1.47,8.0,2837849.0,12534895529.6924,11.69,51.277702331543,4417.04105105395,-2.7569397820911834,8.06941253692155,13.953488372093027,2.8190365308372643e-06
Albania,59.6844118584635,2021,1.36,8.0,2811666.0,13659219676.8332,11.474,51.8425102233887,4858.052015009322,9.984307568301688,6.574310204370759,-7.482993197278908,2.8452881672289666e-06
Albania,68.38659633881477,2022,1.51,8.0,2777689.0,14318507636.8055,10.137,53.2684860229492,5154.827497536801,6.108939995096163,14.580330457117952,11.029411764705866,2.8800920477418457e-06
Albania,94.12348743406764,2023,1.74,8.0,2745972.0,14882173624.9218,10.108,53.2684860229492,5419.637791252715,5.137132015425383,37.63440860215055,15.231788079470189,2.9133581842786453e-06
Albania,115.4483400558486,2024,1.87,8.0,2745972.0,14882173624.9218,10.25,53.2684860229492,5419.637791252715,5.137132015425383,22.65625000000002,7.471264367816088,2.9133581842786453e-06
Belgium,441.4125,2013,0.95,,,,,,,,,,
Belgium,427.3929008567932,2014,0.93,,11209057.0,454346946668.411,8.523,64.0199966430664,40533.913483392134,,-3.1760766048099742,-2.1052631578947323,
Belgium,334.1218637992832,2015,0.88,31.0,11274196.0,461044767544.531,8.482,66.2099990844727,40893.804537772005,0.8878764063265931,-21.823253701811574,-5.376344086021511,2.749641748289634e-06
Belgium,313.2811888932343,2016,0.83,30.0,11331422.0,466547349016.531,7.83,67.0800018310547,41172.886246450886,0.6824547430432926,-6.23744722032572,-5.681818181818188,2.6475053175144304e-06
Belgium,359.8956723338485,2017,0.91,29.0,11375158.0,473426438780.183,7.09,69.1500015258789,41619.32860890222,1.084311553431161,14.879439013014073,9.63855421686748,2.54941513779413e-06
Belgium,366.4317343173432,2018,0.89,27.0,11427054.0,482317238512.932,5.941,70.8456954956055,42208.362585223804,1.4152894724870357,1.816099077021338,-2.197802197802201,2.3628137225920172e-06
Belgium,335.2169456781688,2019,0.9,26.0,11488980.0,494099718421.514,5.364,71.4499969482422,43006.40426056221,1.8907193419954726,-8.518582239425054,1.1235955056179803,2.2630381461191507e-06
Belgium,353.1276665572695,2020,1.02,26.0,11538604.0,470417598481.151,5.545,72.7141799926758,40769.02184017676,-5.202440098990502,5.343023707487693,13.33333333333333,2.253305512521272e-06
Belgium,354.3289767293592,2021,0.93,24.0,11586195.0,499595504127.06,6.248,74.2476806640625,43119.89433347704,5.766320571820915,0.3401914621421698,-8.823529411764708,2.0714306983440207e-06
Belgium,422.82035370772576,2022,1.17,23.0,11680210.0,520745539238.467,5.57,75.1261901855469,44583.5767711768,3.394448108754755,19.32988309637489,25.806451612903203,1.969142678085411e-06
Belgium,455.9106422587652,2023,1.17,23.0,11787423.0,527263714444.414,5.528,75.1261901855469,44731.042098380116,0.33076154468310026,7.826086956521761,0.0,1.951232258314646e-06
Belgium,519.885200124108,2024,1.28,24.0,11787423.0,527263714444.414,5.488,75.1261901855469,44731.042098380116,0.33076154468310026,14.032258064516112,9.401709401709413,2.036068443458761e-06
Bulgaria,102.7,2013,1.39,,,,,,,,,,
Bulgaria,95.7282741738066,2014,1.26,,7223938.0,49142357906.2347,11.424,73.8099975585938,6802.710364656327,,-6.788438000188323,-9.352517985611508,
Bulgaria,73.62007168458781,2015,1.12,31.0,7177991.0,50811995688.6771,9.143,74.9100036621094,7078.860322989692,4.0594107867374385,-23.094746750660722,-11.111111111111105,4.318757156424409e-06
Bulgaria,87.12553773953853,2016,1.26,31.0,7127822.0,52349886250.8068,7.575,75.5999984741211,7344.443541211719,3.7517793275211986,18.34481513793209,12.5,4.3491546225480936e-06
Bulgaria,86.99768160741885,2017,1.17,31.0,7075947.0,53787375622.383,6.164,76.4499969482422,7601.4384537338965,3.499174730939214,-0.1467493176362411,-7.142857142857151,4.381039032655276e-06
Bulgaria,118.93726937269372,2018,1.45,31.0,7025037.0,55158665587.1604,5.211,76.9173965454102,7851.72598908168,3.292633846490478,36.71314818411342,23.931623931623935,4.412788146169194e-06
Bulgaria,238.86231636487872,2019,3.03,37.0,6975761.0,57248544889.4673,4.23,77.1142807006836,8206.781294466267,4.522003262445917,100.8305030245785,108.9655172413793,5.304080802080232e-06
Bulgaria,139.22874958976044,2020,1.79,37.0,6934015.0,55407582000.7787,5.125,77.7799987792969,7990.692549811141,-2.6330510939877483,-41.71171421737413,-40.92409240924092,5.336013839024e-06
Bulgaria,139.01179470832005,2021,1.51,37.0,6877743.0,59718632534.0491,5.267,78.4247741699219,8682.882238264661,8.662449270055816,-0.15582620836547267,-15.642458100558665,5.379671790585953e-06
Bulgaria,143.39125038783743,2022,1.48,37.0,6643324.0,62130535277.7185,4.268,79.3163833618164,9352.326527762081,7.70993169235028,3.1504202134117643,-1.9867549668874163,5.569501050979901e-06
Bulgaria,143.39125038783743,2023,1.31,37.0,6446596.0,63302823436.9332,4.319,79.3163833618164,9819.573529492649,4.996050986281975,0.0,-11.48648648648648,5.739463121312395e-06
Bulgaria,254.4275519702141,2024,2.17,37.0,6446596.0,63302823436.9332,4.104,79.3163833618164,9819.573529492649,4.996050986281975,77.43589743589743,65.64885496183206,5.739463121312395e-06
Canada,462.15,2013,0.88,,,,,,,,,,
Canada,437.062423500612,2014,0.88,,35434066.0,1546457292386.53,7.023,84.7867736816406,43643.23564748483,,-5.428448880101266,0.0,
Canada,434.1696535244923,2015,1.04,66.0,35704498.0,1556508816217.14,6.945,85.3110198974609,43594.194104539434,-0.11236917294930038,-0.6618665482496344,18.181818181818187,1.8485065943232138e-06
Canada,412.45600312866645,2016,1.02,63.0,36110803.0,1572673953080.04,7.038,84.4700012207031,43551.34260182583,-0.09829635251621394,-5.001190253524001,-1.9230769230769273,1.7446302703376605e-06
Canada,478.9451313755796,2017,1.13,63.0,36545075.0,1620386284372.81,6.426,86.4637603759766,44339.38866927513,1.8094644627930867,16.120295920671012,10.784313725490179,1.7238985006871652e-06
Canada,466.1291512915129,2018,1.11,67.0,37072620.0,1664832887596.13,5.837,87.1723480224609,44907.34368372481,1.2809265790424407,-2.6758764719578276,-1.7699115044247593,1.807263689482966e-06
Canada,419.4260334813803,2019,1.08,67.0,37618495.0,1696605089927.38,5.69,87.4373016357422,45100.29149032623,0.4296575810858849,-10.019351435268842,-2.7027027027027084,1.7810388214626874e-06
Canada,415.3528060387266,2020,1.22,67.0,38028638.0,1611126164920.14,9.657,88.1384048461914,42366.12851925278,-6.0624064295901725,-0.9711432094103634,12.962962962962955,1.7618301239187162e-06
Canada,461.6098182977367,2021,1.16,67.0,38239864.0,1696305710720.04,7.527,86.5199966430664,44359.61672667141,4.70538205187363,11.136800230187237,-4.918032786885251,1.7520982815210849e-06
Canada,464.734719205709,2022,1.12,67.0,38939056.0,1761102321572.64,5.279,89.1743698120117,45227.14473542039,1.9556706589562989,0.6769572015378422,-3.44827586206895,1.7206375008166609e-06
Canada,459.5873409866584,2023,1.12,67.0,40097761.0,1783097209318.73,5.415,89.5703811645508,44468.747502353806,-1.676862949238167,-1.1075949367088667,0.0,1.6709162389391268e-06
Canada,511.7964629227428,2024,1.22,62.0,40097761.0,1783097209318.73,6.45,89.5703811645508,44468.747502353806,-1.676862949238167,11.360000000000014,8.92857142857142,1.5462209972272517e-06
China,83.9375,2013,1.22,,,,,,,,,,
