North America,,,,,,,,,,,,
Canada,"15,751","13,817","13,162",452,394,372,0.88,0.89,0.86,63,30,5
United States,"603,457","589,564","604,452","1,892","1,834","1,866",3.47,3.27,3.26,1347,865,0
Total,"619,208","603,381","617,614","1,750","1,692","1,719",3.23,3.08,3.07,1410,895,5
Europe,,,,,,,,,,,,
Albania,135,101,115,46,34,39,1.04,0.90,0.96,8,0,1
Austria,"2,683","2,046","2,313",311,236,266,0.61,0.55,0.60,21,146,0
Belgium,"4,962","4,010","3,895",442,354,341,0.93,0.88,0.83,30,0,7
Bosnia-Herzegovina,220,190,191,58,50,50,1.21,1.21,1.18,11,0,0
Bulgaria,709,560,678,99,79,96,1.26,1.16,1.35,31,3,16
Croatia,745,642,588,172,149,137,1.31,1.32,1.19,16,0,3
Cyprus,424,305,356,361,256,295,1.83,1.58,1.79,12,50,1
Czech Republic,"2,023","1,780","1,971",191,167,185,0.97,0.96,1.02,22,0,3
Denmark,"4,458","3,516","3,547",801,630,634,1.29,1.19,1.17,17,46,0
Estonia,510,467,503,403,370,401,1.93,2.06,2.15,6,28,0
Finland,"3,654","3,074","3,283",670,561,597,1.34,1.32,1.37,22,230,3
France,"52,075","46,626","47,201",786,701,706,1.83,1.93,1.90,203,28,103
Germany,"43,101","36,589","38,281",532,453,474,1.11,1.09,1.10,177,28,1
Greece,"5,688","4,733","4,639",528,439,431,2.41,2.42,2.37,143,221,4
Hungary,"1,008","1,070",996,102,108,101,0.73,0.89,0.85,27,44,12
Iceland,30,30,31,91,91,92,0.17,0.18,0.16,0,0,0
Ireland,"1,192",997,"1,003",247,204,202,0.47,0.35,0.33,9,3,0
Italy,"24,487","21,495","22,309",397,348,360,1.14,1.18,1.20,175,18,182
Latvia,294,283,411,147,143,210,0.95,1.05,1.48,5,8,0
Lithuania,428,471,642,148,164,226,0.89,1.15,1.51,17,7,11
Luxembourg,251,214,220,449,375,378,0.39,0.37,0.36,1,0,1
"Macedonia, North",127,102,107,62,50,53,1.15,1.05,1.05,8,5,8
Malta,60,56,58,145,135,141,0.56,0.57,0.56,2,0,0
Montenegro,79,68,70,122,106,108,1.72,1.71,1.64,2,0,10
Netherlands,,,"9,193",632,524,540,1.21,1.18,1.19,35,,
Norway,,,"5,968","1,316","1,117",1134,1.35,1.50,1.59,25,,
Poland,,,"9,073",263,263,236,1.87,2.14,1.94,99,,
Portugal,,,"2,181",239,200,201,1.12,1.09,1.06,30,,
Romania,,,"2,777",128,115,129,1.40,1.40,1.49,71,,
Serbia,,,507,97,72,71,1.58,1.42,1.35,28,,
Slovakia,,,983,192,162,181,1.04,1.02,1.09,16,,
Slovenia,,,450,268,224,227,1.08,1.04,1.02,7,,
Spain,,,"12,222",265,271,252,0.91,1.09,0.98,123,,
Sweden,,,"5,828",648,584,590,1.10,1.16,1.13,30,,
Switzerland,,,"4,720",641,587,577,0.74,0.72,0.71,21,,
Turkey,,,"8,764",127,106,109,1.25,1.17,1.19,355,,
United Kingdom*,,,"52,498",966,911,815,2.05,2.04,1.98,152,,
China,"131,140","142,415","145,039",96,104,105,1.24,1.27,1.27,"2,183",510,660
Russia [a],,,,453,365,328,3.17,3.92,3.68,831,,
