"","Defence spending (current USDm)",,,"Defence spending per capita (current USD)",,,"Defence spending % of GDP",,,"Active armed forces (000)","Estimated reservists (000)","Active paramilitary (000)"
"","2019","2020","2021","2019","2020","2021","2019","2020","2021","2021","2021","2021"
"Canada","18,731","20,144","23,232","518","534","612","1.08","1.23","1.15","67","34","5"
"United States","745,732","774,527","754,019","2,247","2,328","2,251","3.49","3.71","3.29","1,395","843","0"
"Total","764,463","794,671","777,251","1,383","1,431","1,432","2.28","2.47","2.22","1,462","878","5"
"EuropeEurope",,,,,,,,,,,,
"Albania","198","222","246","64","72","80","1.29","1.50","1.47","8","0","0"
"Austria","3,238","3,466","3,681","367","391","414","0.73","0.80","0.76","23","116","0"
"Belgium","4,817","5,323","6,400","414","454","543","0.90","1.03","1.10","24","6","0"
"Bosnia-Herzegovina","165","168","194","43","44","51","0.82","0.85","0.89","11","6","0"
"Bulgaria","2,067","1,249","1,282","295","179","185","3.03","1.81","1.65","37","3","0"
"Croatia","1,047","997","1,071","247","236","255","1.72","1.77","1.69","17","21","3"
"Cyprus","402","419","523","321","331","408","1.61","1.76","1.97","12","50","1"
"Czech Republic","2,910","3,253","3,971","272","304","371","1.15","1.33","1.43","27","0","0"
"Denmark","4,557","4,919","5,419","780","838","919","1.31","1.38","1.37","15","44","0"
"Estonia","688","716","786","557","583","644","2.24","2.36","2.19","7","18","0"
"Finland","3,920","4,153","5,962","706","745","1,067","1.46","1.54","2.01","19","238","3"
"France","52,100","54,864","59,342","771","809","872","1.91","2.09","2.02","203","41","101"
"Germany","48,398","52,094","56,051","603","650","701","1.24","1.36","1.33","183","30","0"
"Greece","4,806","4,976","7,728","447","469","731","2.34","2.63","3.65","143","221","4"
"Hungary","1,824","2,000","2,633","186","205","271","1.12","1.29","1.45","34","20","12"
"Iceland","55","52","44","159","149","124","0.22","0.24","0.17","0","0","0"
"Ireland","1,113","1,187","1,280","217","229","245","0.28","0.28","0.25","9","1","0"
"Italy","27,049","29,696","33,785","434","476","542","1.35","1.58","1.59","162","18","176"
"Latvia","710","757","835","373","402","448","2.11","2.28","2.26","9","11","0"
"Lithuania","1,061","1,161","1,252","384","425","462","1.96","2.09","2.01","23","7","14"
"Luxembourg","341","390","416","552","620","650","0.48","0.53","0.50","0","0","1"
"Macedonia, North","151","188","209","71","88","98","1.25","1.57","1.51","8","5","8"
"Malta","84","81","86","185","177","186","0.53","0.54","0.51","2","0","0"
"Montenegro","74","74","87","120","121","143","1.42","1.65","1.58","2","3","10"
"Netherlands","12,060","12,594","14,763","700","729","851","1.32","1.38","1.47","34","6","7"
"Norway","6,689","6,476","7,457","1,234","1,184","1,353","1.65","1.79","1.67","25","40","0"
"Poland","11,817","12,780","13,419","308","334","351","1.98","2.14","2.05","114","0","75"
"Portugal","2,674","2,853","2,959","259","277","288","1.11","1.25","1.18","27","212","25"
"Romania","4,939","5,182","5,613","231","243","264","1.98","2.09","1.95","71","55","57"
"Serbia","903","896","1,039","128","128","149","1.75","1.69","1.71","28","50","4"
"Slovakia","1,871","1,847","2,010","344","339","370","1.78","1.77","1.72","18","0","0"
"Slovenia","628","605","670","299","288","319","1.16","1.13","1.10","7","1","0"
"Spain","12,630","12,729","13,767","254","254","291","0.91","0.99","0.96","123","15","76"
"Sweden","6,373","7,036","8,359","630","690","815","1.19","1.30","1.34","15","10","0"
"Switzerland","5,343","5,724","5,722","640","681","677","0.73","0.76","0.71","20","123","0"
"Turkey","12,082","10,885","10,160","148","133","123","1.59","1.51","1.28","355","379","157"
"United Kingdom*","59,438","61,473","71,627","908","935","1,084","2.10","2.27","2.30","153","75","0"
"Total","299,222","313,483","350,845","396","411","469","1.40","1.47","1.48","1,967","1,826","732"
"Russia and Eurasia",,,,,,,,,,,,
"Armenia","644","628","603","212","208","200","4.73","4.97","4.43","43","210","4"
"Azerbaijan","1,787","2,267","2,698","176","222","262","3.71","5.32","5.12","67","300","15"
"Belarus","651","601","638","69","63","68","1.01","1.00","0.97","48","290","110"
"Georgia","310","283","279","63","57","57","1.98","2.03","1.68","21","0","5"
"Kazakhstan","1,595","1,430","1,539","84","75","80","0.88","0.84","0.79","39","0","32"
"Kyrgyzstan","n.k.","n.k.","n.k.","n.k.","n.k.","n.k.","n.k.","n.k.","n.k.","11","0","10"
"Moldova","43","44","51","12","13","15","0.36","0.37","0.41","5","58","1"
"Russia [a]","46,366","43,804","45,802","327","309","322","2.74","2.96","2.78","900","2,000","554"
"Tajikistan","89","89","93","10","10","10","1.09","1.11","1.15","9","20","8"
"Turkmenistan*","n.k.","n.k.","n.k.","n.k.","n.k.","n.k.","n.k.","n.k.","n.k.","37","0","20"
"Ukraine","3,968","4,353","4,269","90","99","98","2.65","2.82","2.42","196","900","102"
"Uzbekistan","n.k.","n.k.","n.k.","n.k.","n.k.","n.k.","n.k.","n.k.","n.k.","48","0","20"
"Total**","55,453","53,500","55,973","116","117","124","2.13","2.38","2.20","1,422","3,778","880"
"Asia",,,,,,,,,,,,
"Afghanistan","1,963","2,014","1,880","55","55","50","10.40","10.00","8.47","165","0","0"
"Australia","29,912","31,418","34,306","1,262","1,234","1,329","2.15","2.31","2.13","60","30","0"
"Bangladesh","3,652","3,786","4,059","23","23","25","1.21","1.17","1.14","163","0","64"
"Brunei","432","439","457","945","946","969","3.21","3.66","2.91","7","1","1"
"Cambodia*","1,043","1,032","1,024","62","61","59","3.85","4.10","3.93","124","0","67"
"China","177,075","188,597","207,340","127","135","148","1.23","1.27","1.23","2,035","510","500"
"Fiji","56","52","47","60","55","50","1.02","1.15","1.00","4","6","0"
"India","63,306","63,507","65,079","48","48","49","2.21","2.39","2.21","1,460","1,155","1,608"
"Indonesia","7,600","8,098","8,399","29","30","31","0.68","0.77","0.73","396","400","280"
"Japan","48,229","49,762","49,254","383","396","395","0.94","0.99","0.97","247","56","14"
"Korea, DPR of","n.k.","n.k.","n.k.","n.k.","n.k.","n.k.","n.k.","n.k.","n.k.","1,280","600","189"
"Korea, Republic of","40,071","40,999","46,650","776","791","902","2.43","2.50","2.56","555","3,100","14"
"Laos","n.k.","n.k.","n.k.","n.k.","n.k.","n.k.","n.k.","n.k.","n.k.","29","0","100"
"Malaysia","3,698","3,706","3,903","115","114","116","1.01","1.10","1.05","113","52","23"
"Mongolia","98","105","97","31","33","30","0.72","0.82","0.68","10","137","8"
"Myanmar","2,132","2,390","2,299","38","42","40","3.10","2.94","3.44","356","0","107"
"Nepal","398","435","408","13","14","13","1.17","1.28","1.19","97","0","15"
"New Zealand","2,673","3,287","3,273","584","667","656","1.27","1.57","1.32","10","3","0"
"Pakistan","10,175","9,332","10,393","48","40","44","3.70","3.57","3.61","652","0","291"
"Papua New Guinea","79","94","87","11","13","12","0.32","0.40","0.33","4","0","0"
"Philippines","4,684","5,269","5,651","44","48","51","1.25","1.47","1.48","145","131","12"
"Singapore","11,339","9,879","11,566","1,858","1,591","1,972","3.03","2.91","3.05","51","253","8"
"Sri Lanka","1,666","1,684","1,529","73","74","66","1.98","2.09","1.89","255","6","62"
"Taiwan","11,010","13,903","16,214","467","589","688","1.80","2.08","2.06","169","1,657","12"
"Thailand","7,315","6,839","7,273","106","99","105","1.34","1.36","1.33","361","200","94"
"Timor-Leste","31","42","39","23","30","28","1.87","2.66","2.41","2","0","0"
"Vietnam*","5,221","5,727","6,345","53","58","62","1.60","1.68","1.73","482","5,000","40"
"Total **","433,857","452,394","487,574","289","287","316","2.14","2.25","2.11","9,231","13,295","3,508"
"Middle East and North Africa",,,,,,,,,,,,
"Algeria","10,300","9,699","9,039","243","226","207","6.02","6.57","5.52","139","150","187"
"Bahrain","1,411","1,405","1,399","957","934","916","3.67","4.05","3.58","8","0","11"
"Egypt","3,353","4,106","4,824","33","39","45","1.54","1.49","1.55","439","479","397"
