"","Defence Spending (current USDm)",,,"Defence Spending per capita (current USD)",,,"Defence Spending % of GDP",,,"Active Armed Forces (000)","Estimated Reservists (000)","Active Paramilitary (000)"
"","2021","2022","2023","2021","2022","2023","2021","2022","2023","2023","2023","2023"
"North America",,,,,,,,,,,,
"Canada","23,178","24,169","24,192","611","632","628","1.16","1.13","1.14","67","34","6"
"United States","759,645","838,814","905,458","2,268","2,487","2,666","3.26","3.29","3.36","1,326","807","0"
"Total","782,823","862,983","929,650","1,439","1,559","1,647","2.21","2.21","2.25","1,393","841","6"
"Europe",,,,,,,,,,,,
"Albania","245","288","401","79","93","129","1.36","1.59","1.74","8","0","0"
"Austria","4,200","3,633","4,442","473","408","497","0.87","0.77","0.84","22","109","0"
"Belgium","5,520","5,647","5,566","469","477","467","0.93","0.98","0.89","23","6","0"
"Bosnia-Herzegovina","192","165","849","50","43","223","0.81","0.67","3.15","11","6","0"
"Bulgaria","1,270","1,337","1,655","184","195","242","1.51","1.53","1.61","37","3","0"
"Croatia","1,437","1,303","1,126","342","311","270","2.09","1.88","1.40","17","21","0"
"Cyprus","571","533","571","445","411","437","2.01","1.87","1.78","12","50","0"
"Czech Republic","3,938","3,817","5,095","368","357","476","1.40","1.35","1.52","27","0","0"
"Denmark","5,371","5,044","5,288","911","852","889","1.32","1.26","1.26","15","44","0"
"Estonia","765","812","1,195","627","670","994","2.10","2.34","2.88","7","41","0"
"Finland","5,913","5,802","6,642","1,058","1,036","1,183","1.99","2.05","2.17","24","233","3"
"France","58,812","54,258","59,973","864","794","875","1.99","1.95","1.97","204","37","95"
"Germany","55,543","53,120","63,696","695","630","756","1.30","1.30","1.44","181","35","0"
"Greece","7,688","7,846","7,355","727","745","701","3.58","3.59","3.03","132","289","7"
"Hungary","2,368","4,794","4,009","243","494","415","1.30","2.66","1.97","32","20","0"
"Iceland","44","41","41","123","115","114","0.17","0.15","0.13","0","0","0"
"Ireland","1,269","1,167","1,278","243","221","240","0.25","0.22","0.22","8","2","0"
"Italy","33,479","31,029","32,750","537","508","537","1.58","1.54","1.50","161","15","179"
"Latvia","824","857","1,052","442","465","578","2.10","2.26","2.28","7","16","0"
"Lithuania","1,308","1,580","2,038","482","589","767","1.98","2.35","2.58","25","7","18"
"Luxembourg","412","443","1,191","644","681","1,802","0.48","0.54","1.34","1","0","1"
"Macedonia, North","207","228","275","97","107","129","1.50","2.15","1.74","8","5","8"
"Malta","85","87","80","184","188","172","0.47","0.48","0.40","2","0","0"
"Montenegro","91","100","123","150","165","205","1.55","1.90","1.75","3","3","4"
"Netherlands","13,883","15,184","16,766","801","873","960","1.35","1.50","1.53","34","6","7"
"Norway","7,503","7,420","7,277","1,362","1,336","1,300","1.53","1.28","1.33","25","40","0"
"Poland","13,424","12,965","23,454","352","340","617","1.97","1.92","2.78","100","32","14"
"Portugal","2,932","2,584","2,813","286","252","275","1.15","1.02","1.02","26","24","23"
"Romania","5,561","5,538","8,545","262","299","466","1.95","1.86","2.44","70","55","57"
"Serbia","1,027","1,218","1,489","147","181","222","1.64","1.92","1.99","28","50","4"
"Slovakia","1,992","2,002","2,674","366","369","493","1.68","1.91","2.01","18","0","0"
"Slovenia","836","880","1,022","397","419","487","1.35","1.49","1.49","6","1","0"
"Spain","15,126","14,626","19,044","320","310","403","1.05","1.03","1.20","124","15","80"
