North America,,,,,,,,,,,,
Canada,16158.000,16182.000,17031.000,460,458,478,1.04,1.06,1.04,63,30,5
United States,589564.000,593371.000,602783.000,1834.000,1831.000,1845.000,3.25,3.19,3.11,1348,858,0
Total,605722.000,609553.000,619814.000,1699.000,1696.000,1711.000,3.08,3.02,2.95,1.411,888,5
Europe,,,,,,,,,,,,
Albania,101,114,109,33,38,36,0.89,0.96,0.84,8,0,1
Austria,2667.000,2888.000,2985.000,308,331,341,0.71,0.75,0.73,22,152,0
Belgium,401.000,3861,4254.000,354,338,370,0.88,0.83,0.87,29,0,5
Bosnia-Herzegovina,162,165,162,42,43,42,1.00,0.99,0.93,11,0,0
Bulgaria,560,671,676,78,94,95,1.12,1.28,1.21,31,3,0
Croatia,641,591,657,148,137,153,1.31,1.17,1.23,16,0,3
Cyprus,328,335,397,276,278,325,1.68,1.69,1.88,15,50,1
Czech Republic,178.000,1955.000,2205.000,167,183,207,0.95,1.00,1.05,23,0,0
Denmark,3516.000,3514.000,3807.000,630,628,679,1.17,1.15,1.17,16,46,0
Estonia,467,498,543,369,396,434,2.07,2.14,2.11,6,28,0
Finland,3074.000,31.000,3191.000,561,564,578,1.32,1.30,1.27,22,216,3
France,46626.000,46784.000,4864.000,701,700,725,1.92,1.90,1.89,203,32,103
Germany,36589.000,37943.000,41734.000,453,470,518,1.08,1.09,1.14,179,28,1
Greece,4733.000,4598.000,4725.000,439,427,439,2.43,2.36,2.31,141,221,4
Hungary,107.000,1061.000,1265.000,108,107,128,0.88,0.85,0.96,28,44,12
Iceland,30,46,37,91,136,110,0.18,0.23,0.15,0,0,0
Ireland,998,994,1039,204,201,207,0.34,0.33,0.32,9,2,0
Italy,21495.000,22112.000,22859.000,348,357,368,1.18,1.19,1.19,175,18,182
Latvia,283,407,507,142,207,261,1.05,1.47,1.68,5,8,0
Lithuania,471,637,816,163,223,289,1.14,1.49,1.75,18,7,11
Luxembourg,214,235,294,375,404,494,0.37,0.39,0.46,1,0,1
"Macedonia, North",102,106,112,49,50,53,1.01,0.97,0.98,8,5,8
Malta,56,58,64,135,139,154,0.54,0.53,0.54,2,0,0
China,142409.000,143668.000,150458.000,104,104,108,1.27,1.28,1.26,2035,510,660
Montenegro,67,,74,104,106,115,1.67,1.64,1.67,2,,
Netherlands,8877,,101.000,524,536,591,1.17,1.17,1.23,35,,
Norway,5815,,6078.000,1117.000,114.000,1143,1.5,1.62,1.55,24,,
Poland,10128,,9837.000,263,236,256,2.12,1.94,1.93,105,,
Portugal,,,2445.000,231,225,226,1.26,1.19,1.15,31,,
Romania,,,4041.000,115,128,188,1.4,1.47,1.97,69,,
Serbia,,,523,72,70,74,1.39,1.33,1.33,28,,
Slovakia,,,1116.000,162,179,205,1.01,1.09,1.17,16,,
Slovenia,,,474,224,225,240,1.03,1.00,0.99,7,,
Spain,,,12112.000,271,205,247,1.09,0.81,0.93,121,,
Sweden,,,5962.000,584,581,599,1.15,1.12,1.10,30,,
Switzerland,,,4834.000,587,569,587,0.7,0.70,0.71,21,,
Turkey,,,7983.000,106,108,99,0.98,1.00,0.95,355,,
United Kingdom*,,,50721.000,909,816,783,2.03,2.00,1.98,150,,
Total,,,257377.000,404,393,,,1.33,1.34,1.962,,
Russia and Eurasia,,,,,,,,,,,,
Armenia,,,429,136,141,,,4.08,3.89,45,,
Azerbaijan,,,1554.000,168,141,,,3.72,3.96,67,,
Belarus,,,528,58,53,,,1.07,1.00,45,,
Georgia,,,303,61,57,,,1.98,1.99,21,,
Kazakhstan,,,1246.000,93,62,,,0.85,0.80,39,,
Kyrgyzstan,,,nk,nk,nk,,,n.k.,n.k.,11,,
Moldova,,,29,7,8,,,0.40,0.37,5,,
Russia [a],,,456.000,367,312,321,3.82,3.47,3.10,900,,
Tajikistan,,,192,27,23,,,2.79,2.65,9,,
Turkmenistan,,,nk,nk,nk,,,n.k.,n.k.,37,,
Ukraine,,,2734.000,60,58,61,,2.74,2.63,204,,
Uzbekistan,,,nk,nk,nk,,,n.k.,n.k.,48,,
