"","Defence spending (current US$m)",,,"Defence spending per capita (current US$)",,,"Defence spending % of GDP",,,"Active armed forces (000)","Estimated reservists (000)","Active paramilitary (000)"
"","2018","2019","2020","2018","2019","2020","2018","2019","2020","2021","2021","2021"
"North America",,,,,,,,,,,,
"Canada","19,125","18,731","20,049","533","518","532","1.11","1.08","1.25","67","36","5"
"United States","631,161","684,568","738,000","1,917","2,063","2,219","3.06","3.19","3.55","1,388","845","0"
"Total","650,286","703,299","758,049","1,225","1,291","1,375","2.09","2.14","2.40","1,456","881","5"
"Europe",,,,,,,,,,,,
"Albania","133","143","187","43","47","61","0.88","0.93","1.33","8","0","0"
"Austria","3,391","3,238","3,471","386","367","392","0.74","0.73","0.80","22","126","0"
"Belgium","4,845","4,817","5,453","419","414","465","0.89","0.91","1.08","26","5","0"
"Bosnia-Herzegovina","171","165","169","45","43","44","0.85","0.83","0.89","11","0","0"
"Bulgaria","959","2,067","1,158","136","295","166","1.45","3.05","1.70","37","3","0"
"Croatia","966","1,048","1,121","226","247","265","1.58","1.73","1.98","15","18","3"
"Cyprus","431","402","406","348","321","320","1.73","1.64","1.75","15","50","1"
"Czech Republic","2,710","2,910","3,278","254","272","306","1.09","1.16","1.35","25","0","0"
"Denmark","4,559","4,557","4,909","785","780","836","1.28","1.31","1.45","15","44","0"
"Estonia","645","688","717","518","557","583","2.13","2.21","2.37","7","18","0"
"Finland","3,757","3,920","4,105","679","706","737","1.36","1.46","1.53","24","216","3"
"France","53,160","52,106","55,034","789","771","811","1.91","1.92","2.16","203","41","101"
"Germany","45,510","48,398","51,347","566","603","641","1.15","1.25","1.36","184","30","0"
"Greece","4,858","4,806","4,984","451","447","470","2.23","2.29","2.56","143","221","4"
"Hungary","1,665","1,824","2,041","169","186","209","1.05","1.13","1.36","28","20","12"
"Iceland","39","55","52","115","159","148","0.15","0.23","0.25","0","0","0"
"Ireland","1,118","1,113","1,189","221","217","230","0.29","0.28","0.30","9","4","0"
"Italy","28,701","27,049","29,344","461","434","470","1.38","1.35","1.59","166","18","176"
"Latvia","724","710","758","377","373","403","2.13","2.10","2.31","6","11","0"
"Lithuania","1,057","1,061","1,163","378","384","426","1.99","1.97","2.12","22","7","15"
"Luxembourg","403","341","390","665","552","621","0.57","0.48","0.57","0","0","1"
"Macedonia, North","125","151","188","59","71","89","0.99","1.23","1.51","8","5","8"
"Malta","70","84","81","156","184","177","0.47","0.56","0.57","2","0","0"
"Montenegro","79","74","74","129","120","121","1.44","1.43","1.50","2","0","10"
"Netherlands","11,254","12,060","12,615","656","700","730","1.23","1.33","1.42","34","6","7"
"Norway","6,756","6,689","6,493","1,258","1,234","1,188","1.56","1.66","1.77","23","40","0"
"Poland","11,893","11,824","12,875","310","308","336","2.03","2.00","2.22","114","0","75"
"Portugal","2,573","2,674","2,857","248","259","277","1.07","1.12","1.29","27","212","25"
"Romania","4,359","4,939","5,207","203","231","244","1.80","1.98","2.09","69","53","57"
"Serbia","704","903","878","99","128","125","1.39","1.76","1.69","28","50","4"
"Slovakia","1,300","1,862","2,123","239","342","390","1.23","1.77","2.08","16","0","0"
"Slovenia","594","628","606","283","299","288","1.10","1.17","1.17","7","1","0"
"Spain","15,059","12,881","12,985","305","259","260","1.06","0.92","1.04","123","15","76"
"Sweden","6,193","6,373","7,050","617","630","691","1.11","1.20","1.33","15","10","0"
"Switzerland","4,811","5,343","5,741","580","640","683","0.68","0.76","0.81","20","123","0"
"Turkey","12,858","12,082","11,038","158","148","135","1.65","1.59","1.70","355","379","157"
"United Kingdom*","58,931","59,226","61,526","905","905","936","2.06","2.09","2.33","149","79","0"
"Total","297,361","299,209","313,611","385","395","413","1.29","1.39","1.50","1,955","1,805","732"
"Russia and Eurasia",,,,,,,,,,,,
"Armenia","513","644","621","169","212","206","4.12","4.71","4.85","45","210","4"
"Azerbaijan","1,709","1,787","2,267","170","176","222","3.63","3.72","5.44","67","300","15"
"Belarus","599","651","616","63","69","65","1.00","1.03","1.07","45","290","110"
"Georgia","321","310","288","65","63","58","2.03","1.95","1.89","21","0","5"
"Kazakhstan","1,500","1,595","1,439","80","84","75","0.84","0.88","0.87","39","0","32"
"Kyrgyzstan","n.k.","n.k.","n.k.","n.k.","n.k.","n.k.","n.k.","n.k.","n.k.","11","0","10"
"Moldova","38","43","42","11","12","13","0.45","0.36","0.38","5","58","1"
"Russia [a]","45,041","46,384","43,184","317","327","305","2.70","2.72","2.95","900","2,000","554"
"Tajikistan","86","89","89","10","10","10","1.14","1.09","1.12","9","0","8"
"Turkmenistan*","n.k.","n.k.","n.k.","n.k.","n.k.","n.k.","n.k.","n.k.","n.k.","37","0","5"
"Ukraine","3,184","3,989","4,320","72","91","98","2.50","2.65","3.05","209","900","102"
"Uzbekistan","n.k.","n.k.","n.k.","n.k.","n.k.","n.k.","n.k.","n.k.","n.k.","48","0","20"
"Total**","52,991","55,491","52,865","106","116","117","2.05","2.12","2.40","1,435","3,758","865"
"Asia",,,,,,,,,,,,
"Afghanistan","2,038","1,963","2,006","58","55","55","11.08","10.40","10.56","179","0","99"
"Australia","31,973","29,912","31,325","1,362","1,262","1,230","2.25","2.16","2.35","59","30","0"
"Bangladesh","2,575","3,653","3,676","16","23","23","0.94","1.21","1.16","163","0","64"
"Brunei","365","432","437","811","945","942","2.69","3.21","4.11","7","1","1"
"Cambodia*","964","1,043","1,032","59","62","61","3.95","3.90","3.92","124","0","67"
"China","170,504","181,135","193,295","122","130","139","1.23","1.23","1.27","2,035","510","500"
"Fiji","51","56","49","56","60","52","0.93","1.03","1.23","4","6","0"
"India","57,830","60,794","64,138","45","46","48","2.13","2.12","2.47","1,459","1,155","1,586"
"Indonesia","7,507","7,600","8,375","29","29","31","0.72","0.68","0.77","396","400","280"
"Japan","47,011","48,229","49,653","373","383","396","0.95","0.95","1.01","247","56","14"
"Korea, DPR of","n.k.","n.k.","n.k.","n.k.","n.k.","n.k.","n.k.","n.k.","n.k.","1,280","600","189"
"Korea, Republic of","39,217","40,071","40,404","763","776","779","2.27","2.43","2.55","599","3,100","14"
"Laos","n.k.","n.k.","n.k.","n.k.","n.k.","n.k.","n.k.","n.k.","n.k.","29","0","100"
"Malaysia","3,890","3,360","3,720","122","104","114","1.08","0.92","1.11","113","52","23"
"Mongolia","104","98","103","34","31","32","0.81","0.73","0.77","10","137","8"
"Myanmar","1,915","2,132","2,107","34","38","37","2.87","3.11","2.97","406","0","107"
"Nepal","431","398","437","14","13","14","1.49","1.30","1.36","97","0","15"
"New Zealand","2,353","2,673","3,255","518","584","661","1.14","1.30","1.68","9","3","0"
"Pakistan","11,357","10,175","10,774","55","48","46","3.63","3.71","3.55","652","0","291"
"Papua New Guinea","63","79","94","9","11","13","0.26","0.32","0.40","4","0","0"
"Philippines","2,592","3,541","3,651","24","33","33","0.76","0.95","1.01","143","131","12"
"Singapore","10,944","11,339","10,887","1,825","1,858","1,753","2.93","3.05","3.23","51","253","8"
"Sri Lanka","1,795","1,666","1,589","80","73","69","2.03","1.98","1.96","255","6","62"
"Taiwan","10,864","11,010","13,867","461","467","587","1.79","1.80","2.18","163","1,657","12"
"Thailand","6,724","7,316","6,992","98","106","101","1.33","1.35","1.37","361","200","94"
"Timor-Leste","21","31","42","16","23","30","1.31","1.93","2.17","2","0","0"
"Vietnam*","4,784","5,221","5,681","49","53","58","1.58","1.59","1.68","482","5,000","40"
"Total **","417,873","433,925","457,588","281","289","292","2.09","2.13","2.27","9,327","13,295","3,585"
"Middle East and North Africa",,,,,,,,,,,,
"Algeria","9,591","10,306","9,922","230","243","231","5.52","6.09","6.73","130","150","187"
"Bahrain","1,409","1,411","1,405","977","957","934","3.74","3.66","4.06","8","0","11"
"Egypt","2,908","3,353","4,106","29","33","39","1.68","1.54","1.49","439","479","397"
"Iran","18,490","17,189","14,059","223","205","166","4.24","2.94","2.30","610","350","40"
"Iraq","7,956","9,855","10,267","198","239","264","3.64","4.39","5.76","193","0","148"
"Israel","16,245","16,804","16,644","1,928","1,965","1,918","5.22","5.09","5.20","170","465","8"
"Jordan","1,635","1,691","1,723","156","158","159","4.79","4.75","4.87","101","65","15"
"Kuwait","7,462","7,864","7,763","2,558","2,660","2,593","5.30","5.81","7.14","18","24","7"
"Lebanon","2,122","1,928","1,921","348","330","351","4.05","3.87","10.52","60","0","20"
"Libya","n.k.","n.k.","n.k.","n.k.","n.k.","n.k.","n.k.","n.k.","n.k.","n.k.","n.k.","n.k."
"Mauritania","159","161","196","41","41","49","2.26","2.12","2.64","16","0","5"
"Morocco","4,842","4,817","5,961","141","139","168","4.11","4.07","5.31","196","150","50"
"Oman","7,437","7,530","7,484","2,128","2,113","2,059","9.32","9.86","12.01","43","0","4"
"Palestinian Territories","n.k.","n.k.","n.k.","n.k.","n.k.","n.k.","n.k.","n.k.","n.k.","0","0","n.k."
"Qatar","6,384","6,399","6,466","2,701","2,659","2,645","3.48","3.64","4.37","17","0","5"
"Saudi Arabia","58,133","50,933","48,533","1,757","1,514","1,420","7.39","6.42","7.13","227","0","25"
"Syria","n.k.","n.k.","n.k.","n.k.","n.k.","n.k.","n.k.","n.k.","n.k.","169","0","100"
"Tunisia","881","999","1,145","76","86","98","2.38","2.79","3.02","36","0","12"
"United Arab Emirates","19,444","19,329","19,826","2,004","1,964","1,984","4.61","4.59","5.60","63","0","0"
"Yemen","n.k.","n.k.","n.k.","n.k.","n.k.","n.k.","n.k.","n.k.","n.k.","40","0","0"
"Total**","165,097","160,568","157,420","969","957","942","4.48","4.48","5.51","2,533","1,683","1,034"
"Latin America and the Caribbean",,,,,,,,,,,,
"Antigua and Barbuda","7","7","8","74","74","80","0.44","0.43","0.57","0","0","0"
"Argentina","4,317","3,281","2,911","97","73","64","0.83","0.74","0.76","72","0","31"
"Bahamas","85","92","86","255","275","254","0.65","0.68","0.74","2","0","0"
"Barbados","40","38","41","138","131","138","0.79","0.74","0.88","1","0","0"
"Belize","23","23","25","60","59","61","1.29","1.27","1.58","2","1","0"
"Bolivia","503","479","479","44","42","41","1.24","1.16","1.23","34","0","37"
