"","Defence spending (current USDm)",,,"Defence spending per capita (current USD)",,,"Defence spending % of GDP",,,"Active armed forces (000)","Estimated reservists (000)","Active paramilitary (000)"
"","2020","2021","2022","2020","2021","2022","2020","2021","2022","2022","2022","2022"
"North America",,,,,,,,,,,,
"Canada","20,144","23,178","24,617","534","611","644","1.22","1.17","1.12","67","34","5"
"United States","774,527","759,645","766,606","2,328","2,268","2,272","3.71","3.30","3.06","1,360","817","0"
"Total","794,671","782,823","791,223","1,431","1,439","1,458","2.47","2.24","2.09","1,426","852","5"
"Europe",,,,,,,,,,,,
"Albania","222","245","286","72","79","92","1.47","1.34","1.57","8","0","0"
"Austria","3,466","4,200","3,643","391","473","409","0.80","0.88","0.78","23","112","0"
"Belgium","5,323","5,520","5,663","454","469","478","1.02","0.92","0.96","23","6","0"
"Bosnia-Herzegovina","168","192","169","44","50","44","0.84","0.82","0.71","11","6","0"
"Bulgaria","1,249","1,270","1,341","179","184","195","1.79","1.58","1.58","37","3","0"
"Croatia","997","1,413","1,273","236","336","304","1.74","2.09","1.84","17","21","0"
"Cyprus","419","571","497","331","445","384","1.70","2.06","1.86","12","50","0"
"Czech Republic","3,253","3,938","3,826","304","368","357","1.32","1.40","1.29","27","0","0"
"Denmark","4,919","5,371","5,064","838","911","855","1.38","1.35","1.31","15","44","0"
"Estonia","716","779","830","583","638","685","2.31","2.12","2.15","7","18","0"
"Finland","4,153","5,913","5,819","745","1,058","1,039","1.53","1.99","2.07","19","238","3"
"France","54,943","58,812","54,417","810","864","797","2.08","1.99","1.96","203","41","101"
"Germany","52,094","55,543","53,371","650","695","633","1.34","1.30","1.32","183","33","0"
"Greece","4,976","7,688","7,869","469","727","747","2.64","3.55","3.54","132","289","4"
"Hungary","2,175","2,620","2,992","223","269","308","1.39","1.44","1.62","32","20","0"
"Iceland","52","44","42","149","123","117","0.24","0.17","0.15","0","0","0"
"Ireland","1,187","1,269","1,170","229","243","222","0.28","0.25","0.23","8","2","0"
"Italy","29,696","33,479","31,120","476","537","509","1.57","1.59","1.56","161","18","176"
"Latvia","757","824","852","402","442","462","2.27","2.14","2.12","7","16","0"
"Lithuania","1,161","1,308","1,585","425","482","590","2.07","2.01","2.34","23","7","14"
"Luxembourg","390","412","444","620","644","683","0.53","0.47","0.54","0","0","1"
"Macedonia, North","188","207","229","88","97","108","1.59","1.49","1.63","8","5","8"
"Malta","81","85","87","177","184","188","0.54","0.49","0.51","2","0","0"
"Montenegro","74","91","100","121","150","166","1.65","1.55","1.63","2","3","4"
"Netherlands","12,594","13,883","15,228","729","801","875","1.39","1.37","1.54","34","6","7"
"Norway","6,476","7,503","7,433","1,184","1,362","1,338","1.79","1.56","1.47","25","40","0"
"Poland","12,780","13,424","13,396","334","352","352","2.13","1.98","1.87","114","0","14"
"Portugal","2,853","2,932","2,591","277","286","253","1.25","1.17","1.01","27","24","25"
"Romania","5,182","5,557","5,188","243","262","280","2.08","1.96","1.73","72","55","57"
"Serbia","896","1,032","1,221","128","148","181","1.68","1.64","1.95","28","50","4"
"Slovakia","1,847","1,992","2,008","339","366","370","1.76","1.73","1.79","18","0","0"
"Slovenia","605","836","883","288","397","420","1.13","1.35","1.42","6","1","0"
"Spain","13,744","15,126","14,669","275","320","311","1.07","1.06","1.06","124","15","76"
"Sweden","7,036","8,296","8,074","690","808","770","1.29","1.31","1.34","15","10","0"
"Switzerland","5,723","5,689","5,554","681","673","653","0.77","0.71","0.69","20","123","0"
"Turkey","10,885","9,547","6,188","133","116","75","1.51","1.17","0.73","355","379","157"
"United Kingdom*","61,473","70,870","70,029","935","1,073","1,033","2.23","2.22","2.19","150","72","0"
"Total","314,753","348,476","335,152","412","471","467","1.46","1.47","1.46","1,948","1,705","649"
"Russia and Eurasia",,,,,,,,,,,,
"Armenia","628","622","749","208","206","250","4.97","4.46","4.23","43","210","4"
"Azerbaijan","2,267","2,698","2,641","222","262","255","5.31","4.94","3.77","64","300","15"
"Belarus","601","640","818","63","68","87","0.98","0.94","1.03","48","290","110"
"Georgia","283","279","314","57","57","64","2.04","1.68","1.35","21","0","5"
"Kazakhstan","1,430","1,538","1,876","75","80","97","0.84","0.78","0.84","39","0","32"
"Kyrgyzstan","n.k.","n.k.","n.k.","n.k.","n.k.","n.k.","n.k.","n.k.","n.k.","11","0","10"
